task_id,description,region,start_date,end_date,image_count,phase,export_type,timestamp,scale_m,crs,dtype,bands
PKUSOGLWWQPRTTRL62S32JYA,SEAS_DRY_Hasdeo_Full_2023,Hasdeo_Full,2023-11-01,2024-04-30,52,dry_composite,drive,2026-02-20T18:44:30.350667,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
P7TXYAINULWFN4ERMUIRQUT5,SEAS_WET_Hasdeo_Full_2023,Hasdeo_Full,2023-05-01,2023-10-31,17,wet_composite,drive,2026-02-20T18:44:32.494856,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
7XDYBJEKZAS6S6RJ6T4I4X5B,SEAS_DRY_Hasdeo_Full_2024,Hasdeo_Full,2024-11-01,2025-04-30,61,dry_composite,drive,2026-02-20T18:44:35.359626,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
K7NVTIN7PNQEFZ3HHTOOZWNK,SEAS_WET_Hasdeo_Full_2024,Hasdeo_Full,2024-05-01,2024-10-31,13,wet_composite,drive,2026-02-20T18:44:37.101033,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
23QK6TW35QEDUBHOM3N3V2WR,SEAS_DRY_PEKB_Core_2016,PEKB_Core,2016-11-01,2017-04-30,6,dry_composite,drive,2026-02-20T18:44:43.291280,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
JARZNQB6ISBP5DII2LVFUTPK,SEAS_WET_PEKB_Core_2016,PEKB_Core,2016-05-01,2016-10-31,1,wet_composite,drive,2026-02-20T18:44:45.495664,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
ZF6XTUYKKWIEV6RE4OW6WUUZ,SEAS_DRY_PEKB_Core_2017,PEKB_Core,2017-11-01,2018-04-30,12,dry_composite,drive,2026-02-20T18:44:47.164135,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
SAWNFEZWPUX4JD4GCXSPLR5F,SEAS_DRY_PEKB_Core_2018,PEKB_Core,2018-11-01,2019-04-30,24,dry_composite,drive,2026-02-20T18:44:49.285313,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
GAGJWCUDAWTLULCEHEJ2AUWD,SEAS_WET_PEKB_Core_2018,PEKB_Core,2018-05-01,2018-10-31,1,wet_composite,drive,2026-02-20T18:44:50.817805,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
CN7Q775LCL53J5QFIX36HQ6L,SEAS_DRY_PEKB_Core_2019,PEKB_Core,2019-11-01,2020-04-30,23,dry_composite,drive,2026-02-20T18:44:52.254281,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
X5JGZLZ5KUKBOOLIHTMTNGW4,SEAS_WET_PEKB_Core_2019,PEKB_Core,2019-05-01,2019-10-31,8,wet_composite,drive,2026-02-20T18:44:53.791648,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
P6TWYNSHBBVAT2R3RBAYBRI2,SEAS_DRY_PEKB_Core_2020,PEKB_Core,2020-11-01,2021-04-30,27,dry_composite,drive,2026-02-20T18:44:55.575780,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
YDT3DIK4FJ5V64WW3XWFQOXP,SEAS_WET_PEKB_Core_2020,PEKB_Core,2020-05-01,2020-10-31,7,wet_composite,drive,2026-02-20T18:44:56.990537,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
LEVUQTGU24CM46ZFBE2MIXDS,SEAS_DRY_PEKB_Core_2021,PEKB_Core,2021-11-01,2022-04-30,30,dry_composite,drive,2026-02-20T18:44:58.500612,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
AMMLRHQUEYWSRCWPZHJ4TH57,SEAS_WET_PEKB_Core_2021,PEKB_Core,2021-05-01,2021-10-31,8,wet_composite,drive,2026-02-20T18:45:00.142051,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
4JNLGNIRH5NKXPAPB775X5YX,SEAS_DRY_PEKB_Core_2022,PEKB_Core,2022-11-01,2023-04-30,26,dry_composite,drive,2026-02-20T18:45:01.675213,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
VIK6V26ZSSCLDD2WA7ZBYQRX,SEAS_WET_PEKB_Core_2022,PEKB_Core,2022-05-01,2022-10-31,7,wet_composite,drive,2026-02-20T18:45:03.212890,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
D3KIOIGS3P4SGQ3RCYS7NBMQ,SEAS_DRY_PEKB_Core_2023,PEKB_Core,2023-11-01,2024-04-30,26,dry_composite,drive,2026-02-20T18:45:04.850353,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
E7TKLQNZUWGVF3H3OGSG5LER,SEAS_WET_PEKB_Core_2023,PEKB_Core,2023-05-01,2023-10-31,8,wet_composite,drive,2026-02-20T18:45:06.285316,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
O45RN2ODNXA7EUABEUGL6WSW,SEAS_DRY_PEKB_Core_2024,PEKB_Core,2024-11-01,2025-04-30,31,dry_composite,drive,2026-02-20T18:45:07.923551,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
TII4NGTW74NLGDNZSWJAEC4O,SEAS_WET_PEKB_Core_2024,PEKB_Core,2024-05-01,2024-10-31,7,wet_composite,drive,2026-02-20T18:45:09.559898,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
S2CYHH7RJ53BSP4B3BACR4SF,SEAS_DRY_Kente_Extension_2016,Kente_Extension,2016-11-01,2017-04-30,6,dry_composite,drive,2026-02-20T18:45:16.629592,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
YWAG347N22Z57YNPRHU3PJWZ,SEAS_WET_Kente_Extension_2016,Kente_Extension,2016-05-01,2016-10-31,1,wet_composite,drive,2026-02-20T18:45:18.371906,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
25YAB5OVQSBI6ZYJDRMOL7CL,SEAS_DRY_Kente_Extension_2017,Kente_Extension,2017-11-01,2018-04-30,12,dry_composite,drive,2026-02-20T18:45:21.029402,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
RZE4KAZDR7IGOHDWNTNEZMKE,SEAS_DRY_Kente_Extension_2018,Kente_Extension,2018-11-01,2019-04-30,24,dry_composite,drive,2026-02-20T18:45:23.546496,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
DHDE4CJVFFDXGRPAAGL5DXR6,SEAS_WET_Kente_Extension_2018,Kente_Extension,2018-05-01,2018-10-31,1,wet_composite,drive,2026-02-20T18:45:25.535931,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
OG5F4WCWIMWNGQ7Z2SOWHP6Z,SEAS_DRY_Kente_Extension_2019,Kente_Extension,2019-11-01,2020-04-30,23,dry_composite,drive,2026-02-20T18:45:27.141274,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
OU4FRNBPDDKBHK7N6OM46WNV,SEAS_WET_Kente_Extension_2019,Kente_Extension,2019-05-01,2019-10-31,8,wet_composite,drive,2026-02-20T18:45:29.527492,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
O6SV2XAUYYLS4A5F5W5I7EIP,SEAS_DRY_Kente_Extension_2020,Kente_Extension,2020-11-01,2021-04-30,27,dry_composite,drive,2026-02-20T18:45:31.208682,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
SO23CD3OYIEMJFODSNYVCWOT,SEAS_WET_Kente_Extension_2020,Kente_Extension,2020-05-01,2020-10-31,7,wet_composite,drive,2026-02-20T18:45:32.906658,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
PWG4UWFBSP25NYIXVZLTZCE6,SEAS_DRY_Kente_Extension_2021,Kente_Extension,2021-11-01,2022-04-30,30,dry_composite,drive,2026-02-20T18:45:34.751817,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
QER2WZRRUY2VZXXKWELLF3RF,SEAS_WET_Kente_Extension_2021,Kente_Extension,2021-05-01,2021-10-31,8,wet_composite,drive,2026-02-20T18:45:36.287360,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
VZTCHLD33IXBWENXAZONLXSS,SEAS_DRY_Kente_Extension_2022,Kente_Extension,2022-11-01,2023-04-30,27,dry_composite,drive,2026-02-20T18:45:37.927210,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
JIZAME5S3LUMXHRCF5ZIVOVV,SEAS_WET_Kente_Extension_2022,Kente_Extension,2022-05-01,2022-10-31,7,wet_composite,drive,2026-02-20T18:45:39.456377,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
UGGDURRLTAYZ4DF7CAWP7CE6,SEAS_DRY_Kente_Extension_2023,Kente_Extension,2023-11-01,2024-04-30,26,dry_composite,drive,2026-02-20T18:45:41.099253,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
